"","World Bank Income Status","Country (ISO3 Code)","WHO-CHOICE Region","World Bank Geographical Region","World Health Organization Region","Gram stain","Antibiotic Class","Syndrome","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Cost - from Excess LOS","Low 95% UI Bound - from Excess LOS","High 95% UI Bound - from Excess LOS","Regional Level of MA for Extracted Costs","Number of Studies in MA for Extracted Costs","Mean Cost - from Extracted Costs","Low 95% UI Bound - from Exctraced Costs","High 95% UI Bound - from Extraced Costs","Mean Cost - Across Both","Low 95% UI Bound - Across Both","High 95% UI Bound - Across Both","AMR_or_DRI","adj.factor","los.cost","Scenario 2 Mean Cost"
"127","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","B-J","whoc",1,6724,-8460,29029,NA,NA,NA,NA,NA,6724,-8460,29029,"AMR",2.09999563985153,6724,20844.3706823617
"128","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","BSI","whoc",2,5701,103,15676,"income",8,268,-228,738,2984,-221,13319,"AMR",2.09999563985153,5701,17673.0751427936
"129","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","BSI","whoc",2,-51,-7990,7881,NA,NA,NA,NA,NA,-51,-7990,7881,"AMR",2.09999563985153,-51,-158.099777632428
"130","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","BSI","income",14,4244,1572,9431,"income",5,2884,-558,6508,3564,130,8366,"AMR",2.09999563985153,4244,13156.3814955299
"131","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","BSI","income",25,1787,660,3970,"income",12,212,-87,515,1000,-33,3484,"AMR",2.09999563985153,1787,5539.69220841468
"132","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","COL/INF","whoc",4,5667,2314,12570,"whoc",1,1650,-1405,4838,3659,-961,10512,"AMR",2.09999563985153,5667,17567.6752910386
"133","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","COL/INF","whoc",1,1561,-1024,5437,"whoc",1,2267,-2103,6501,1914,-1691,6268,"AMR",2.09999563985153,1561,4839.09319380824
"134","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","COL/INF","income",7,2645,143,7213,"income",4,21601,-1741,44081,12123,-93,40948,"AMR",2.09999563985153,2645,8199.4884674073
"135","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","COL/INF","whoc",1,517,205,1134,"income",7,2979,-3828,10168,1748,-2794,9031,"AMR",2.09999563985153,517,1602.69774580324
"136","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","RTI","income",6,-516,-2593,1025,NA,NA,NA,NA,NA,-516,-2593,1025,"AMR",2.09999563985153,-516,-1599.59775016339
"137","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","RTI","income",3,822,-4434,6843,"global",1,6260,-5665,19339,3541,-5134,16839,"AMR",2.09999563985153,822,2548.19641595796
"138","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","tb","mdr","RTI","income",3,76153,-36997,247012,"income",1,47679,-44166,140571,61916,-40803,200642,"AMR",2.09999563985153,76153,236073.967961614
"139","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","RTI","income",12,1234,224,3145,"income",5,-751,-4938,3713,242,-4425,3452,"AMR",2.09999563985153,1234,3825.39461957679
"140","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSI","income",2,3932,1340,9001,"income",2,37088,-14804,88123,20510,-5037,81476,"AMR",2.09999563985153,3932,12189.1828558962
"141","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSTI","income",1,4851,1443,11225,"income",1,565,-528,1651,2708,-343,9794,"AMR",2.09999563985153,4851,15038.0788489198
"142","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","UTI","income",4,1827,595,4341,"income",2,1586,-832,3967,1707,-392,4145,"AMR",2.09999563985153,1827,5663.69203400875
"143","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","UTI","income",2,4943,206,13130,NA,NA,NA,NA,NA,4943,206,13130,"AMR",2.09999563985153,4943,15323.2784477861
"144","High income","BHS","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","UTI","income",1,2559,-23999,35482,NA,NA,NA,NA,NA,2559,-23999,35482,"AMR",2.09999563985153,2559,7932.88884238006
"145","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","B-J","whoc",1,4647,-5975,20050,NA,NA,NA,NA,NA,4647,-5975,20050,"AMR",2.09999563985153,4647,14405.6797383901
"146","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","BSI","whoc",2,3982,223,11214,"income",8,269,-196,780,2126,-171,9878,"AMR",2.09999563985153,3982,12344.1826378888
"147","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","BSI","whoc",2,111,-5782,6286,NA,NA,NA,NA,NA,111,-5782,6286,"AMR",2.09999563985153,111,344.09951602352
"148","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","BSI","income",14,3042,1058,7277,"income",5,2801,-425,6258,2921,-12,6608,"AMR",2.09999563985153,3042,9430.18673642835
"149","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","BSI","income",25,1297,447,3139,"income",12,221,-81,524,759,-33,2583,"AMR",2.09999563985153,1297,4020.69434488743
"150","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","COL/INF","whoc",4,4063,1552,8898,"whoc",1,1586,-1570,4656,2825,-959,7840,"AMR",2.09999563985153,4063,12595.2822847168
"151","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","COL/INF","whoc",1,1152,-712,3982,"whoc",1,2359,-2113,6702,1756,-1544,6082,"AMR",2.09999563985153,1152,3571.19497710896
"152","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","COL/INF","income",7,1980,64,5432,"income",4,21258,-2162,44199,11619,-169,41372,"AMR",2.09999563985153,1980,6137.99136690603
"153","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","COL/INF","whoc",1,371,135,840,"income",7,3120,-4044,10022,1745,-2582,8837,"AMR",2.09999563985153,371,1150.09838238492
"154","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","RTI","income",6,-388,-1831,685,NA,NA,NA,NA,NA,-388,-1831,685,"AMR",2.09999563985153,-388,-1202.79830826239
"155","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","RTI","income",3,601,-3618,5327,"global",1,6556,-5904,19053,3578,-4893,17395,"AMR",2.09999563985153,601,1863.09737955077
"156","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","tb","mdr","RTI","income",3,54701,-19691,181823,"income",1,47422,-50154,142438,51062,-41834,162086,"AMR",2.09999563985153,54701,169572.861495519
"157","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","RTI","income",12,901,187,2320,"income",5,-792,-5101,3344,55,-4316,2873,"AMR",2.09999563985153,901,2793.09607150623
"158","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSI","income",2,2834,908,6781,"income",2,37262,-17147,90769,20048,-7951,82118,"AMR",2.09999563985153,2834,8785.38764333924
"159","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSTI","income",1,3385,943,8179,"income",1,572,-504,1644,1978,-356,7231,"AMR",2.09999563985153,3385,10493.4852408974
"160","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","UTI","income",4,1347,407,3313,"income",2,1606,-628,3974,1477,-327,3728,"AMR",2.09999563985153,1347,4175.69412688001
"161","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","UTI","income",2,3721,265,9947,NA,NA,NA,NA,NA,3721,265,9947,"AMR",2.09999563985153,3721,11535.0837758875
"162","High income","BRB","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","UTI","income",1,959,-21350,23131,NA,NA,NA,NA,NA,959,-21350,23131,"AMR",2.09999563985153,959,2972.89581861762
"163","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gp","penicillins","B-J","income",1,164,-2558,2957,NA,NA,NA,NA,NA,164,-2558,2957,"AMR",2.09999563985153,164,508.399284935651
"164","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gn","3g cephalosporins","BSI","income",24,1579,504,3727,"income",8,268,-192,736,923,-110,3252,"AMR",2.09999563985153,1579,4894.89311532557
"165","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gn","carbapenems","BSI","income",10,2423,672,5858,NA,NA,NA,NA,NA,2423,672,5858,"AMR",2.09999563985153,2423,7511.28943536026
"166","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gp","glycopeptides","BSI","whoc",1,1760,-311,5366,"whoc",1,21045,-23039,63202,11402,-15374,56011,"AMR",2.09999563985153,1760,5455.99232613869
"167","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gp","penicillins","BSI","whoc",3,1077,301,2551,"income",12,217,-98,521,647,-49,2230,"AMR",2.09999563985153,1077,3338.6953041201
"168","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gn","3g cephalosporins","COL/INF","income",6,5986,1931,15204,"income",2,25128,-18694,67819,15557,-11850,60946,"AMR",2.09999563985153,5986,18556.5739001513
"169","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gn","carbapenems","COL/INF","income",14,3072,934,7494,"income",6,18888,824,37241,10980,932,34218,"AMR",2.09999563985153,3072,9523.1866056239
"170","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gp","glycopeptides","COL/INF","income",7,1910,82,5517,"income",4,22284,-1763,45927,12097,-26,42197,"AMR",2.09999563985153,1910,5920.99167211642
"171","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gp","penicillins","COL/INF","income",13,1352,200,3590,"income",7,3327,-3424,10183,2340,-2572,9067,"AMR",2.09999563985153,1352,4191.19410507927
"172","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gn","3g cephalosporins","RTI","income",6,-361,-1658,767,NA,NA,NA,NA,NA,-361,-1658,767,"AMR",2.09999563985153,-361,-1119.0984259864
"173","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gn","carbapenems","RTI","income",3,510,-3642,4994,"wbregion",1,6200,-5804,18310,3355,-4691,16824,"AMR",2.09999563985153,510,1580.99777632428
"174","High income","BRN","WPRO A","East Asia & Pacific","WPRO","tb","mdr","RTI","whoc",1,4865,-62,14769,"income",1,49534,-37396,135232,27200,-21304,124939,"AMR",2.09999563985153,4865,15081.4787878777
"175","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gp","penicillins","RTI","whoc",1,1269,137,3465,"income",5,-736,-5151,3596,267,-4372,3537,"AMR",2.09999563985153,1269,3933.89446697159
"176","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gp","penicillins","SSI","income",2,2844,910,6807,"income",2,36187,-16600,86415,19515,-7344,75730,"AMR",2.09999563985153,2844,8816.38759973775
"177","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gp","penicillins","SSTI","income",1,3459,954,7881,"income",1,570,-497,1685,2015,-365,6894,"AMR",2.09999563985153,3459,10722.8849182464
"178","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gn","3g cephalosporins","UTI","whoc",1,1620,606,3701,"income",2,1599,-792,4129,1610,-386,3875,"AMR",2.09999563985153,1620,5021.99293655948
"179","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gn","carbapenems","UTI","income",2,3654,308,9750,NA,NA,NA,NA,NA,3654,308,9750,"AMR",2.09999563985153,3654,11327.3840680175
"180","High income","BRN","WPRO A","East Asia & Pacific","WPRO","gp","glycopeptides","UTI","income",1,1019,-19849,23301,NA,NA,NA,NA,NA,1019,-19849,23301,"AMR",2.09999563985153,1019,3158.89555700871
"181","High income","CAN","AMRO A","North America","PAHO","gp","penicillins","B-J","whoc",1,343,-4726,5376,NA,NA,NA,NA,NA,343,-4726,5376,"AMR",2.09999563985153,343,1063.29850446907
"182","High income","CAN","AMRO A","North America","PAHO","gn","3g cephalosporins","BSI","whoc",1,4078,68,10920,"whoc",1,24454,-22943,71463,14266,-15748,64588,"AMR",2.09999563985153,4078,12641.7822193145
"183","High income","CAN","AMRO A","North America","PAHO","gn","carbapenems","BSI","whoc",1,1863,269,4532,NA,NA,NA,NA,NA,1863,269,4532,"AMR",2.09999563985153,1863,5775.2918770434
"184","High income","CAN","AMRO A","North America","PAHO","gp","glycopeptides","BSI","whoc",10,5523,1741,12372,"whoc",3,2580,-857,6028,4051,-362,10943,"AMR",2.09999563985153,5523,17121.2759189
"185","High income","CAN","AMRO A","North America","PAHO","gp","penicillins","BSI","whoc",9,2453,725,5778,"whoc",7,4637,-1956,11116,3545,-943,9989,"AMR",2.09999563985153,2453,7604.2893045558
"186","High income","CAN","AMRO A","North America","PAHO","gn","3g cephalosporins","COL/INF","whoc",4,7241,2264,16991,"whoc",2,24949,-14855,67365,16095,-9625,59804,"AMR",2.09999563985153,7241,22447.0684281649
"187","High income","CAN","AMRO A","North America","PAHO","gn","carbapenems","COL/INF","whoc",10,5225,1256,13051,"whoc",6,19085,859,37235,12155,1232,34874,"AMR",2.09999563985153,5225,16197.4772182242
"188","High income","CAN","AMRO A","North America","PAHO","gp","glycopeptides","COL/INF","whoc",5,2525,-1784,9291,"whoc",3,19731,-6202,44894,11128,-2697,40870,"AMR",2.09999563985153,2525,7827.48899062511
"189","High income","CAN","AMRO A","North America","PAHO","gp","penicillins","COL/INF","whoc",10,616,-474,2205,"whoc",5,-13,-4752,4645,301,-4040,4021,"AMR",2.09999563985153,616,1909.59731414854
"190","High income","CAN","AMRO A","North America","PAHO","gn","3g cephalosporins","RTI","income",6,-652,-3253,1537,NA,NA,NA,NA,NA,-652,-3253,1537,"AMR",2.09999563985153,-652,-2021.1971571832
"191","High income","CAN","AMRO A","North America","PAHO","gn","carbapenems","RTI","income",3,840,-6891,9270,"global",1,6123,-6890,18429,3481,-6890,16936,"AMR",2.09999563985153,840,2603.99633747529
"192","High income","CAN","AMRO A","North America","PAHO","tb","mdr","RTI","income",3,105726,-37460,340656,"income",1,47994,-50519,137837,76860,-44286,288182,"AMR",2.09999563985153,105726,327750.139018943
"193","High income","CAN","AMRO A","North America","PAHO","gp","penicillins","RTI","whoc",6,830,-945,3175,"whoc",4,-873,-5363,3667,-21,-4530,3422,"AMR",2.09999563985153,830,2572.99638107677
"194","High income","CAN","AMRO A","North America","PAHO","gp","penicillins","SSI","whoc",2,5276,1589,11729,"whoc",2,35199,-15553,84550,20238,-6029,76354,"AMR",2.09999563985153,5276,16355.5769958567
"195","High income","CAN","AMRO A","North America","PAHO","gp","penicillins","SSTI","income",1,6458,1854,13900,"whoc",1,597,-510,1734,3527,-348,12977,"AMR",2.09999563985153,6458,20019.7718421612
"196","High income","CAN","AMRO A","North America","PAHO","gn","3g cephalosporins","UTI","whoc",1,1152,430,2447,"whoc",1,3319,-3665,9916,2235,-2677,8914,"AMR",2.09999563985153,1152,3571.19497710896
"197","High income","CAN","AMRO A","North America","PAHO","gn","carbapenems","UTI","whoc",1,10779,2336,25680,NA,NA,NA,NA,NA,10779,2336,25680,"AMR",2.09999563985153,10779,33414.8530019596
"198","High income","CAN","AMRO A","North America","PAHO","gp","glycopeptides","UTI","whoc",1,2073,-37136,44129,NA,NA,NA,NA,NA,2073,-37136,44129,"AMR",2.09999563985153,2073,6426.29096141222
"199","High income","CHE","EURO A","Europe & Central Asia","EURO","gp","penicillins","B-J","income",1,600,-9182,10660,NA,NA,NA,NA,NA,600,-9182,10660,"AMR",2.09999563985153,600,1859.99738391092
"200","High income","CHE","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","BSI","whoc",13,5267,1426,12966,"whoc",4,1542,-6583,9736,3404,-5140,11743,"AMR",2.09999563985153,5267,16327.677035098
"201","High income","CHE","EURO A","Europe & Central Asia","EURO","gn","carbapenems","BSI","whoc",5,8989,1791,23261,NA,NA,NA,NA,NA,8989,1791,23261,"AMR",2.09999563985153,8989,27865.8608066254
"202","High income","CHE","EURO A","Europe & Central Asia","EURO","gp","glycopeptides","BSI","whoc",2,18966,2378,52375,"whoc",1,36049,-32041,110236,27508,-22942,101737,"AMR",2.09999563985153,18966,58794.5173054241
"203","High income","CHE","EURO A","Europe & Central Asia","EURO","gp","penicillins","BSI","whoc",6,2697,-8696,17061,"whoc",1,1809,-1667,5145,2253,-6906,12536,"AMR",2.09999563985153,2697,8360.68824067958
"204","High income","CHE","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","COL/INF","income",6,19491,6207,47215,"income",2,26735,-15562,70191,23113,-8423,64246,"AMR",2.09999563985153,19491,60422.0150163462
"205","High income","CHE","EURO A","Europe & Central Asia","EURO","gn","carbapenems","COL/INF","whoc",1,7175,-2614,24455,"income",6,18867,681,37612,13021,-1755,35269,"AMR",2.09999563985153,7175,22242.4687159347
"206","High income","CHE","EURO A","Europe & Central Asia","EURO","gp","glycopeptides","COL/INF","whoc",1,13228,-2247,38542,"whoc",1,32430,-26417,89367,22829,-17197,82782,"AMR",2.09999563985153,13228,41006.742323956
"207","High income","CHE","EURO A","Europe & Central Asia","EURO","gp","penicillins","COL/INF","whoc",2,13354,5154,29195,"whoc",2,9804,-4233,24368,11579,-2065,26528,"AMR",2.09999563985153,13354,41397.3417745773
"208","High income","CHE","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","RTI","income",6,-1221,-6080,2370,NA,NA,NA,NA,NA,-1221,-6080,2370,"AMR",2.09999563985153,-1221,-3785.09467625872
"209","High income","CHE","EURO A","Europe & Central Asia","EURO","gn","carbapenems","RTI","whoc",2,7690,-3401,26347,"global",1,6209,-6636,18632,6950,-5135,21700,"AMR",2.09999563985153,7690,23838.9664704583
"210","High income","CHE","EURO A","Europe & Central Asia","EURO","tb","mdr","RTI","whoc",1,79371,7025,222755,"income",1,45944,-45660,138111,62658,-35329,186118,"AMR",2.09999563985153,79371,246049.753930656
"211","High income","CHE","EURO A","Europe & Central Asia","EURO","gp","penicillins","RTI","whoc",3,15192,4739,35232,"whoc",1,32875,-34146,98715,24034,-23392,88890,"AMR",2.09999563985153,15192,47095.1337606244
"212","High income","CHE","EURO A","Europe & Central Asia","EURO","gp","penicillins","SSI","income",2,9185,3096,22594,"income",2,36755,-15701,88219,22970,-4704,80985,"AMR",2.09999563985153,9185,28473.4599520363
"213","High income","CHE","EURO A","Europe & Central Asia","EURO","gp","penicillins","SSTI","income",1,11203,3099,26990,"income",1,544,-539,1680,7650,-263,24431,"AMR",2.09999563985153,11203,34729.2511532567
"214","High income","CHE","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","UTI","whoc",1,4969,1927,10549,"whoc",1,1296,-1285,3837,3132,-928,9220,"AMR",2.09999563985153,4969,15403.8783344223
"215","High income","CHE","EURO A","Europe & Central Asia","EURO","gn","carbapenems","UTI","whoc",1,7261,-1046,20839,NA,NA,NA,NA,NA,7261,-1046,20839,"AMR",2.09999563985153,7261,22509.068340962
"216","High income","CHE","EURO A","Europe & Central Asia","EURO","gp","glycopeptides","UTI","income",1,3253,-63280,73116,NA,NA,NA,NA,NA,3253,-63280,73116,"AMR",2.09999563985153,3253,10084.285816437
"217","High income","CHL","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","B-J","whoc",1,2383,-2858,10177,NA,NA,NA,NA,NA,2383,-2858,10177,"AMR",2.09999563985153,2383,7387.2896097662
